mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_l2_regularization,param_learning_rate,param_max_iter,param_max_leaf_nodes,split0_test_f1_phishing,split1_test_f1_phishing,split2_test_f1_phishing,split3_test_f1_phishing,split4_test_f1_phishing,mean_test_f1_phishing,std_test_f1_phishing,rank_test_f1_phishing,split0_test_precision_phishing,split1_test_precision_phishing,split2_test_precision_phishing,split3_test_precision_phishing,split4_test_precision_phishing,mean_test_precision_phishing,std_test_precision_phishing,rank_test_precision_phishing,split0_test_recall_phishing,split1_test_recall_phishing,split2_test_recall_phishing,split3_test_recall_phishing,split4_test_recall_phishing,mean_test_recall_phishing,std_test_recall_phishing,rank_test_recall_phishing,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_pr_auc_phishing,split1_test_pr_auc_phishing,split2_test_pr_auc_phishing,split3_test_pr_auc_phishing,split4_test_pr_auc_phishing,mean_test_pr_auc_phishing,std_test_pr_auc_phishing,rank_test_pr_auc_phishing
11.130114078521729,0.5536101477665856,2.1609755992889403,0.0831210584985443,0.0,0.05,100,31,0.995773851119763,0.9962743663096267,0.9955097289206719,0.9958401277912743,0.9963759683479071,0.9959548084978487,0.00032356943042676146,35,0.9992653442863821,0.9993993593166044,0.998532061119637,0.9993988377529891,0.9989999333288886,0.9991191071609002,0.00032771976705582177,35,0.9923066719724102,0.993168855285847,0.992505637352434,0.9923066719724102,0.9937657514259186,0.992810717601804,0.0005729834478433574,35,0.9981699194903001,0.9980347873609466,0.9981050564880225,0.9982141971027039,0.9985701566304552,0.9982188234144858,0.0001858279891534432,23,0.9982425072189715,0.9982892209406738,0.9982597522069026,0.998324937383806,0.9986715686694168,0.998357597283954,0.0001594612218994534,35
16.54572477340698,1.0583288651849896,3.1731550216674806,0.21196263701680776,0.0,0.05,100,127,0.9962736225712004,0.9966079148653143,0.9959409103007719,0.9963745218692832,0.9967428875299122,0.9963879714272965,0.00027837412170447827,33,0.9995994124716251,0.9994663820704376,0.9992655895313126,0.9993994795489424,0.9990006662225184,0.9993463059689672,0.00020361266123316966,33,0.992969889905823,0.9937657514259186,0.9926382809391165,0.9933678206658708,0.9944952911526728,0.9934474068178805,0.0006462887764998131,33,0.998411335998428,0.9982384576931879,0.998065688682033,0.9981838757113002,0.9984117066624753,0.9982622129494848,0.00013409614217819028,21,0.9986624523217479,0.9985586267600036,0.9985233740998979,0.998574765418973,0.9987377885352364,0.9986114014271716,7.804622714827062e-05,24
24.922659969329835,1.292582649123424,7.3161670684814455,0.2728864215043945,0.0,0.05,300,31,0.997307270370001,0.9971413375880867,0.9969414893617021,0.9974744118038017,0.9976747276109487,0.997307847346908,0.00025467188790757466,24,0.9998000399920016,0.9995335199253632,0.9994667377682975,0.9996003729852138,0.9994010382004526,0.9995603417742658,0.00013705216786116133,6,0.9948269001193792,0.9947605783260379,0.9944289693593314,0.9953574744661096,0.9959543706061812,0.9950656585754081,0.0005348678910639663,26,0.9986513377421784,0.9984290148153995,0.998442546116041,0.9988104505833848,0.9989608607512322,0.9986588420016472,0.000206814528859216,5,0.9989394470966001,0.9987607435226175,0.9987723203745864,0.9990829660558052,0.9992271080948301,0.9989565170288879,0.0001798643584358134,5
54.570802974700925,2.854868649595757,15.71544885635376,2.413123123600281,0.0,0.05,300,127,0.9973079863072883,0.9972746609944164,0.9969079362968382,0.997508222864547,0.9975754757713641,0.9973148564468909,0.00023347800132035308,23,0.9995336753047765,0.9995336442371752,0.999533302220148,0.9994008388256441,0.9991351207504491,0.9994273162676386,0.00015487425816851073,29,0.9950921872927444,0.9950258654994031,0.9942963257726489,0.9956227616394747,0.9960206923995225,0.9952115665207588,0.0005848363890449258,21,0.9981735572216484,0.9978429958035369,0.997867064304951,0.9983294429815965,0.9985377695481525,0.9981501659719771,0.00026736641346879685,26,0.9986333457644996,0.9984345965945012,0.9984343339286337,0.9988014226713826,0.9989593594674893,0.9986526116853014,0.00020580857418120272,22
49.38404426574707,6.811353038009069,12.340952920913697,1.2261864690952522,0.0,0.05,600,31,0.9973411326774794,0.9972746609944164,0.9970744680851064,0.9976078144727224,0.9977744560704201,0.9974145064600289,0.0002479912387284198,11,0.9996002664890073,0.9995336442371752,0.9996000533262231,0.9995339547270307,0.9994676249417714,0.9995471087442416,4.960014226637856e-05,10,0.9950921872927444,0.9950258654994031,0.9945616129460141,0.995689083432816,0.9960870141928638,0.9952911526727682,0.0005355253810369235,13,0.9983958768697152,0.9980440923465855,0.998097769189575,0.9986204135784669,0.998727386857142,0.998377107768297,0.00027246091432446914,15,0.998766112263045,0.9985252160173648,0.9985871701221173,0.998971753900827,0.9990927727959116,0.9987886050198531,0.00021749356650753172,14
92.89618906974792,2.64628680259023,27.169537162780763,0.1941314991346565,0.0,0.05,600,127,0.997374630288126,0.9973079863072883,0.9969744322904545,0.997774012425662,0.9978744603121886,0.9974611043247439,0.00032758119824388845,3,0.9995337374275628,0.9995336753047765,0.9995999733315555,0.9996671326809133,0.9994012772751464,0.9995471592039908,8.812089879157225e-05,7,0.9952248308794269,0.9950921872927444,0.9943626475659901,0.9958880488128399,0.996352301366229,0.995384003183446,0.0006848829098514973,3,0.9979028536154873,0.9977447426306547,0.997659924690943,0.9981478818671116,0.9982950803774429,0.9979500966363279,0.00023947221454792976,31,0.9984671796448552,0.9983781513673184,0.9983297931279553,0.9986811009005336,0.9988227514733763,0.9985357953028078,0.00018732547905428172,29
7.91948447227478,0.5829983484669085,2.4418508052825927,0.500111933886314,0.0,0.1,100,31,0.9970077797725913,0.9969079362968382,0.9965416334131418,0.9973078073586599,0.9974749152767626,0.9970480144235987,0.000324776582908771,31,0.9996,0.999533302220148,0.9993330665599574,0.9996002398560864,0.9994007989347536,0.999493481514189,0.0001083071909700939,20,0.9944289693593314,0.9942963257726489,0.9937657514259186,0.9950258654994031,0.9955564398461334,0.9946146703806871,0.0006184662807732692,30,0.9986624640525259,0.9985994308076677,0.9985494292256689,0.9987721008679096,0.9990054140971522,0.998717767810185,0.00016192127616874562,1,0.998935173858198,0.9988610466390592,0.9988371933180596,0.9990531750920957,0.9992047643407352,0.9989782706496296,0.00013594975776413034,1
15.779496002197266,0.5618750512903476,3.5500120639801027,0.22019617759744964,0.0,0.1,100,127,0.9973744557811824,0.997274842140246,0.9967084483159889,0.9974410953441228,0.9975092159011657,0.9972616114965411,0.00028720054998551393,28,0.9996002931183798,0.9994670929922729,0.9993332888859258,0.9996003463664824,0.9990021951706246,0.9994006433067371,0.00022246548282498987,31,0.9951585090860857,0.9950921872927444,0.994097360392625,0.9952911526727682,0.9960206923995225,0.9951319803687492,0.000614470609996067,25,0.9983789537959397,0.9981866605955406,0.998257735636984,0.99841632331769,0.998738080906135,0.9983955508504578,0.00019008522736922305,14,0.9987512235133398,0.9985947430190167,0.9986681955508557,0.9988477041332591,0.9990688280184178,0.9987861388469778,0.0001645998278908054,15
19.235871410369874,2.474764563790362,6.008844709396362,1.2057617792938764,0.0,0.1,300,31,0.9972744798245031,0.9973079863072883,0.9970742735554226,0.9975746702548257,0.9977744560704201,0.997401173202492,0.0002453730691723149,15,0.9996002132196162,0.9995336753047765,0.9996666666666667,0.9994674122894615,0.9994676249417714,0.9995471184844584,7.741296881086962e-05,9,0.9949595437060618,0.9950921872927444,0.9944952911526728,0.995689083432816,0.9960870141928638,0.9952646239554317,0.0005605662981593393,16,0.9984394542355102,0.9980172954305794,0.998101107083757,0.9985927365993008,0.9987074824498408,0.9983716151597977,0.0002701928042857212,16,0.9987931838288606,0.9985270656659758,0.9985883485998774,0.9989515993066338,0.999061504954529,0.9987843404711754,0.00020468366463987432,16
45.526966381072995,1.0585105307941332,13.223843812942505,0.7961799259497381,0.0,0.1,300,127,0.997374630288126,0.997341309405118,0.9969744322904545,0.9976409608931123,0.9979076023780266,0.9974477870509674,0.00031288988433724016,6,0.9995337374275628,0.9995337063682388,0.9995999733315555,0.9996005060257008,0.999467766615661,0.9995471379537438,4.959741758011688e-05,8,0.9952248308794269,0.9951585090860857,0.9943626475659901,0.995689083432816,0.996352301366229,0.9953574744661096,0.0006552109847581405,7,0.997909204481302,0.9977693264158273,0.9976892279918322,0.9980666084063141,0.9982857487007802,0.9979440231992113,0.0002137546997695685,32,0.9984732761515613,0.9983877391255522,0.9983477969704978,0.9986357920101793,0.9988128332792974,0.9985314875074176,0.00017194722751146882,30
