mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,split0_test_f1_phishing,split1_test_f1_phishing,split2_test_f1_phishing,split3_test_f1_phishing,split4_test_f1_phishing,mean_test_f1_phishing,std_test_f1_phishing,rank_test_f1_phishing,split0_test_precision_phishing,split1_test_precision_phishing,split2_test_precision_phishing,split3_test_precision_phishing,split4_test_precision_phishing,mean_test_precision_phishing,std_test_precision_phishing,rank_test_precision_phishing,split0_test_recall_phishing,split1_test_recall_phishing,split2_test_recall_phishing,split3_test_recall_phishing,split4_test_recall_phishing,mean_test_recall_phishing,std_test_recall_phishing,rank_test_recall_phishing,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_pr_auc_phishing,split1_test_pr_auc_phishing,split2_test_pr_auc_phishing,split3_test_pr_auc_phishing,split4_test_pr_auc_phishing,mean_test_pr_auc_phishing,std_test_pr_auc_phishing,rank_test_pr_auc_phishing
1.2935966491699218,0.26282740019049244,0.1984708786010742,0.052187557798793284,gini,10,1,0.9951729418422717,0.99537576100336,0.9951748693887059,0.9948417584611801,0.9957775044053596,0.9952685670201754,0.0003067887803988003,15,0.9990642336742196,0.9985982244175956,0.9986642623388766,0.9983969006746376,0.9983998933262217,0.9986247028863102,0.00024408464067334913,12,0.9913118450722908,0.9921740283857275,0.9917097758323385,0.9913118450722908,0.993168855285847,0.991935269929699,0.0006938159878298063,18,0.9972634538879142,0.9970578982960742,0.9970194277179769,0.9970068171668724,0.9976803914252108,0.9972055976988099,0.00025485858685024267,12,0.9973578931680724,0.9970902507945952,0.9972774145063105,0.9968050721537899,0.9975902796430234,0.9972241820531582,0.0002639433618767828,18
1.0595267772674561,0.19750214672348318,0.14435224533081054,0.011279582884971344,gini,10,5,0.9948396977061624,0.9953095372742091,0.9945427924930121,0.9946748319243827,0.9955780164245104,0.9949889751644554,0.0003923718602017653,20,0.9987967110100943,0.9984649269171728,0.997996527314011,0.9983297701763763,0.9981998799919994,0.9983575630819308,0.00026846270657021864,19,0.990913914312243,0.9921740283857275,0.9911128796922669,0.9910465578989256,0.992969889905823,0.9916434540389971,0.0008013692779940602,20,0.9970820706028475,0.9971516202884937,0.9971420740164854,0.997387415796619,0.9977049551130941,0.997293627163508,0.00023059812535831397,11,0.9971462008077316,0.9973198069238576,0.9972070533283454,0.9975732869942502,0.9976302636296935,0.9973753223367756,0.0001939475000017763,16
1.0504488468170166,0.09613497774339395,0.17014679908752442,0.030207273158814215,gini,10,20,0.994439449938401,0.995108641400193,0.994408201304753,0.9947385947385947,0.9948816804041478,0.994715313557218,0.0002658365682233614,24,0.9985289200936142,0.9985308848080133,0.9981290926099158,0.9989299090422686,0.9971352431712192,0.9982508099450061,0.0006125793179644596,24,0.9903833399655126,0.9917097758323385,0.9907149489322191,0.9905823053455366,0.9926382809391165,0.9912057302029448,0.0008499546010664832,24,0.9975895300275363,0.9974835440115852,0.9976952004616289,0.9973160756859438,0.9976965120114056,0.99755617243962,0.0001435674438505457,6,0.9976393935783067,0.9975745073730798,0.9975662854086377,0.9975660010625433,0.9977444878570897,0.9976181350559313,6.888638332238377e-05,12
1.3191820144653321,0.09990564363960411,0.1675414562225342,0.011398556893166026,gini,20,1,0.9964431738855832,0.9967758018946319,0.996176988796915,0.9965437022266533,0.9969110173713754,0.9965701368350318,0.0002568584885598115,5,0.9988670443185604,0.999133737589125,0.9986669332800107,0.998734345856648,0.998536163417393,0.9987876448923474,0.00020334179917096536,5,0.9940310385992838,0.9944289693593314,0.9936994296325773,0.9943626475659901,0.9952911526727682,0.9943626475659902,0.0005322298089332278,6,0.9965871440561024,0.9967724240907927,0.996098021374366,0.9963957071060939,0.9969876685401302,0.996568193033497,0.00030621624740996615,24,0.9969934651626546,0.9972783981617224,0.9963151445865704,0.9968063460255085,0.9970664242710028,0.9968919556414917,0.00032561366876732547,23
1.0455955028533936,0.06218255080412974,0.1322957992553711,0.018393941155691422,gini,20,5,0.9955082349026784,0.9962761005452853,0.9951777578236722,0.9957424161788185,0.9961115357771944,0.9957632090455297,0.0003981423093610936,10,0.9988649262202043,0.9989331910921456,0.9980655059702488,0.9987988789536901,0.998334554659916,0.998599411379241,0.00033967584791909583,15,0.9921740283857275,0.993633107839236,0.9923066719724102,0.9927046027324579,0.9938983950126011,0.9929433611884866,0.0006988693392927089,10,0.9971064937311152,0.9972864671698729,0.9969364787523396,0.9970687649417079,0.9974817785241894,0.9971759966238449,0.00018942249530622175,15,0.9975992121357004,0.9978243866514234,0.9973279400760524,0.9977646693677139,0.9978009141274581,0.9976634244716696,0.00018532984731456544,10
1.1397637367248534,0.074378871960247,0.1739819049835205,0.06141802737091389,gini,20,20,0.9945406125166445,0.9954742096505823,0.9946089850249584,0.9951047320923108,0.9951803224198106,0.9949817723408613,0.0003551416933376356,21,0.9983959363721427,0.9989981298423725,0.9981298423724285,0.9993311484181661,0.9975344839075099,0.9984779081825239,0.000635069763669243,16,0.9907149489322191,0.9919750630057037,0.9911128796922669,0.990913914312243,0.9928372463191405,0.9915108104523147,0.0007903153792156292,21,0.9976380615276864,0.9974035303154859,0.9974759208149986,0.9974222292460083,0.9979151686718918,0.9975709821152142,0.00019087598356163192,5,0.9980451492569026,0.9979147714397076,0.9976331996344413,0.9979259583711277,0.9980694438506791,0.9979177045105716,0.0001551043161000427,3
1.494432020187378,0.24827465455452116,0.19750962257385254,0.07289420899895088,gini,30,1,0.9965098886488283,0.9968093592129753,0.9962765957446809,0.9966772993088783,0.9970775770456961,0.9966701439922119,0.0002705534208018891,3,0.9988671953088558,0.9990672884743504,0.9988001599786696,0.9986682647489679,0.998536650259412,0.9987879117540512,0.00017996388383655074,3,0.9941636821859663,0.9945616129460141,0.9937657514259186,0.9946942565326966,0.9956227616394747,0.9945616129460142,0.0006221535694154797,3,0.9966151377021152,0.9966925628548172,0.9961141567154959,0.9964953488215166,0.9970924203813707,0.9966019252950631,0.0003156744831489683,22,0.9970724076501569,0.9972273023932955,0.9965368540385332,0.9968434384938866,0.9971796817294932,0.9969719368610731,0.0002546655680299689,20
1.3893155574798584,0.34828684475605803,0.15911264419555665,0.022480505933783635,gini,30,5,0.9954748120050576,0.9962761005452853,0.9951443394971398,0.9957758190587062,0.996111277295842,0.9957564696804063,0.0004123865869534052,11,0.9988648504273504,0.9989331910921456,0.9980653769179453,0.9987989590978849,0.9984009594243454,0.9986126673919342,0.0003302676041983433,13,0.9921077065923862,0.993633107839236,0.9922403501790689,0.9927709245257992,0.9938320732192598,0.9929168324711501,0.0007048855421454465,11,0.9970603081496486,0.9972864671698729,0.9966954667259066,0.9970414486387302,0.9974571935236223,0.9971081768415562,0.00025716679016098967,17,0.9975785030824055,0.9978243866514234,0.9971872434286657,0.9977466697028684,0.9977346233723849,0.9976142852475496,0.0002279449874977423,13
2.059763717651367,0.2783160236909376,0.24917249679565429,0.09619827177450747,gini,30,20,0.9945406125166445,0.9954742096505823,0.9946089850249584,0.9950712668176369,0.9951803224198106,0.9949750792859264,0.00035307061268495424,22,0.9983959363721427,0.9989981298423725,0.9981298423724285,0.9993311036789297,0.9975344839075099,0.9984778992346767,0.0006350577420365407,17,0.9907149489322191,0.9919750630057037,0.9911128796922669,0.9908475925189018,0.9928372463191405,0.9914975460936464,0.0008007103474087628,22,0.9976533501633573,0.9974035303154859,0.9974447895416076,0.9974803030306907,0.9979151686718918,0.9975794283446066,0.0001881911551765619,2,0.9980604585433936,0.9979147714397076,0.9976196054797748,0.9979613133144067,0.9980694438506791,0.9979251185255924,0.00016364722177182812,1
1.799205446243286,0.4553946820979264,0.22365117073059082,0.09224905604084573,gini,,1,0.9965098886488283,0.9968093592129753,0.9962765957446809,0.9966772993088783,0.9970775770456961,0.9966701439922119,0.0002705534208018891,3,0.9988671953088558,0.9990672884743504,0.9988001599786696,0.9986682647489679,0.998536650259412,0.9987879117540512,0.00017996388383655074,3,0.9941636821859663,0.9945616129460141,0.9937657514259186,0.9946942565326966,0.9956227616394747,0.9945616129460142,0.0006221535694154797,3,0.9966151377021152,0.9966925628548172,0.9961141567154959,0.9964953488215166,0.9970924203813707,0.9966019252950631,0.0003156744831489683,22,0.9970724076501569,0.9972273023932955,0.9965368540385332,0.9968434384938866,0.9971796817294932,0.9969719368610731,0.0002546655680299689,20
