mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__class_weight,split0_test_f1_phishing,split1_test_f1_phishing,split2_test_f1_phishing,split3_test_f1_phishing,split4_test_f1_phishing,mean_test_f1_phishing,std_test_f1_phishing,rank_test_f1_phishing,split0_test_precision_phishing,split1_test_precision_phishing,split2_test_precision_phishing,split3_test_precision_phishing,split4_test_precision_phishing,mean_test_precision_phishing,std_test_precision_phishing,rank_test_precision_phishing,split0_test_recall_phishing,split1_test_recall_phishing,split2_test_recall_phishing,split3_test_recall_phishing,split4_test_recall_phishing,mean_test_recall_phishing,std_test_recall_phishing,rank_test_recall_phishing,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_pr_auc_phishing,split1_test_pr_auc_phishing,split2_test_pr_auc_phishing,split3_test_pr_auc_phishing,split4_test_pr_auc_phishing,mean_test_pr_auc_phishing,std_test_pr_auc_phishing,rank_test_pr_auc_phishing
1.8891785144805908,0.07988080029707234,0.28281521797180176,0.05364335828744726,0.01,,0.9897799527281201,0.9906062624916723,0.9899453988547077,0.9905720091947896,0.9910797497004393,0.9903966745939459,0.00047439573413976007,11,0.9936501570750619,0.9951144425110428,0.9939162989704506,0.9951804002945311,0.994788186556194,0.994529897081456,0.0006296040601698781,11,0.9859397798116462,0.98613874519167,0.9860061016049874,0.9860061016049874,0.9873988592651546,0.9862979174956891,0.0005542534133380288,12,0.9978184628384055,0.9977717165971279,0.9975898157976207,0.9981174703066605,0.9980553684247263,0.9978705667929082,0.00019309080395575842,12,0.9981055464833997,0.9981978476716002,0.9980390705839401,0.9983475013537484,0.9984362682395468,0.9982252468664472,0.00014779491555411928,12
1.6979624271392821,0.3414103659204169,0.21340460777282716,0.04078592937621524,0.01,balanced,0.9894946808510638,0.9905205388325296,0.989692778294986,0.9902221630969802,0.9903654485049834,0.9900591219161086,0.0003965161638867099,12,0.9920010665244634,0.9935277240274905,0.9923323109747967,0.9931287525016678,0.992211423245906,0.9926402554548648,0.0005854091196976655,12,0.9870009285051068,0.9875315028518371,0.9870672502984481,0.9873325374718133,0.9885263297519565,0.9874917097758324,0.0005510698521777747,11,0.9978324498252749,0.9977729756226686,0.9975847532154822,0.9981209131248249,0.9980607851253048,0.9978743753827111,0.00019567836562776604,11,0.9981148135817972,0.9981969500274075,0.9980354977045149,0.9983506543288162,0.9984387435741167,0.9982273318433303,0.00014851741047616706,11
1.3686705112457276,0.059524779836087456,0.17035470008850098,0.029982058854669872,0.1,,0.9929021293611916,0.9938355936156743,0.9932018128499067,0.9930694388911102,0.9943717321077696,0.9934761413651305,0.0005479856779199591,10,0.9977898332328712,0.9986606843902766,0.9981245813797722,0.9978572385161377,0.9986621178674159,0.9982188910772948,0.0003782615092171399,9,0.9880620771985674,0.9890569040986869,0.9883273643719326,0.9883273643719326,0.9901180527921475,0.9887783525666534,0.0007472909415574193,10,0.9980165888680687,0.9979452326119195,0.9977477001597591,0.9983535754974907,0.99827852206151,0.9980683238397496,0.0002218915512179288,10,0.9983217852426592,0.998397390655057,0.9982139292043238,0.9985795368069943,0.9986658822366236,0.9984357048291315,0.00016571020044133902,10
1.4489588260650634,0.14786512910518462,0.16841526031494142,0.01907905736589549,0.1,balanced,0.9931723563696919,0.9941388037831358,0.993471454266871,0.9933395497535633,0.9944067119456652,0.9937057752237856,0.00048008105588197547,9,0.9975245868736201,0.9983946488294314,0.9979255888650964,0.9975919732441472,0.9983955074207782,0.9979664610466148,0.0003753904641077117,10,0.9888579387186629,0.9899190874121236,0.9890569040986869,0.9891232258920282,0.990449661758854,0.9894813635760711,0.0006043658707995556,9,0.9980389791946817,0.997938127642265,0.9977694587705573,0.9983791671125117,0.9982969001527582,0.9980845265745548,0.00022569471222478964,9,0.9983420425304679,0.9984000963340656,0.9982281568064868,0.9986023503685753,0.9986805265327587,0.9984506345144709,0.00016715902469045633,9
2.0759623050689697,0.5504729328167766,0.3134498119354248,0.09171661401557789,1.0,,0.9953705245628642,0.9953705245628642,0.9953039134054954,0.9952035174205582,0.9958732694355698,0.9954243498774703,0.0002326349141623719,8,0.9997323877701211,0.9997323877701211,0.9996654847126514,0.9996654175588865,0.9994655978623914,0.9996522551348341,9.801192475201286e-05,6,0.9910465578989256,0.9910465578989256,0.9909802361055843,0.9907812707255604,0.9923066719724102,0.9912322589202812,0.0005459375415110038,8,0.998383303007867,0.9980935845094534,0.9980183318984651,0.9987309608302839,0.9985301723960701,0.998351270528428,0.0002662505958696848,8,0.9986402367559862,0.9985657129778085,0.9984444244668527,0.9989149973813034,0.9988914984931621,0.9986913740150227,0.0001840907447831969,8
2.243239402770996,0.35263809553028214,0.20001845359802245,0.06789606984660317,1.0,balanced,0.9953376848274943,0.9956052736715941,0.9954045954045954,0.9950709385199493,0.9960403287525372,0.9954917642352342,0.0003231843354360189,7,0.9995986622073578,0.9995988768551946,0.9995987158908507,0.9993979127642494,0.999465776293823,0.9995319888022951,8.45367839069381e-05,8,0.9911128796922669,0.9916434540389972,0.9912455232789494,0.9907812707255604,0.9926382809391165,0.991484281734978,0.0006397217430315467,7,0.998348801117847,0.9981145322026338,0.9981245051317762,0.9986901290068559,0.99854780618282,0.9983651547283866,0.00022801804964276814,7,0.9986138896710345,0.9985839179661113,0.9985145749925759,0.9988808968979103,0.9989060873696906,0.9986998733794646,0.00016153518018080903,7
2.0908435344696046,0.2411304892577413,0.4738449573516846,0.208297038794353,10.0,,0.996005326231691,0.9961061004426399,0.9961387390985953,0.9958384658920665,0.9965397923875432,0.9961256848105073,0.00023195686748435777,6,0.9998663280310119,0.9997327810809006,0.9999331729484096,0.9997994518350157,0.999866470823875,0.9998396409438426,6.813879033081977e-05,1,0.9921740283857275,0.992505637352434,0.9923729937657514,0.9919087412123624,0.9932351770791882,0.9924393155590927,0.00044588768574004733,6,0.9986310293979052,0.9981916507957317,0.9984060555223745,0.9988784413238171,0.9988332420396322,0.998588083815892,0.0002594408600065486,4,0.9988488798512838,0.9986762188035858,0.9987614711677628,0.9990685255160199,0.9991135286750008,0.9988937248027305,0.00017069269751682312,6
2.2472403049468994,0.5790818232160218,0.20218491554260254,0.04611516544049567,10.0,balanced,0.9961392531451774,0.9962733745924004,0.996272630457934,0.9961058412381428,0.9966401649978377,0.9962862528862985,0.0001896114397299528,5,0.9997995724211651,0.9996661324786325,0.9998663994655979,0.9997995590298657,0.999799773076153,0.9997862872942829,6.540587067090292e-05,3,0.992505637352434,0.9929035681124818,0.9927046027324579,0.9924393155590927,0.9935004642525533,0.992810717601804,0.00038122052959807393,5,0.9986381901056697,0.9982275592533486,0.9984167577685534,0.998880205358267,0.9988802742146304,0.9986085973400938,0.0002570787491130505,1,0.9988604748605028,0.9987045262162322,0.9987716178756918,0.9990829093652469,0.9991499423648109,0.9989138941364969,0.00017390571762423187,5
2.8230130195617678,0.2945392115589891,0.30165657997131345,0.06688169860587634,100.0,,0.9966399414484847,0.9968072369296261,0.9967732277702006,0.996540252827678,0.997174108181788,0.9967869534315554,0.0002158528785173484,3,0.9998664975635805,0.999733155436958,0.999933257692051,0.999733012948872,0.999733351109926,0.9997998549502775,8.435279299584042e-05,2,0.9934341424592121,0.9938983950126011,0.993633107839236,0.9933678206658708,0.9946279347393554,0.993792280143255,0.00045680263583294724,4,0.9986365802579077,0.99822598219271,0.9983938056474585,0.9987938201322143,0.9989363101788467,0.9985972996818274,0.0002586031198245343,2,0.9988831924400753,0.9987158544317416,0.9987787081739204,0.9990510642267244,0.9992031561033906,0.9989263950751704,0.00017896609461352792,2
2.4862319469451903,0.5164152964843779,0.2513110637664795,0.03535542766695869,100.0,balanced,0.996474422936207,0.9964739538287539,0.996540022622929,0.9965743173579007,0.9975407111997341,0.996720685589105,0.0004118316705449689,4,0.9994662396583934,0.9995995728777363,0.9997997329773031,0.9995329908599639,0.9997335464961364,0.9996264165739067,0.00012379094331682936,7,0.9935004642525533,0.9933678206658708,0.9933014988725295,0.993633107839236,0.9953574744661096,0.9938320732192599,0.0007711601991642764,3,0.9986530541480919,0.9981740768975554,0.9983772735625213,0.9988014238420455,0.998956327707316,0.998592431231506,0.0002832267168332164,3,0.9988889660418563,0.9986906163268905,0.9987841450940477,0.9990701060772335,0.9992162607556404,0.9989300188591337,0.0001907023406159098,1
