model,config,threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,roc_auc,pr_auc,log_loss,brier,probability_rmse,probability_mae,legit_false_alarm_rate,phishing_miss_rate,phishing_caught,phishing_missed,legit_flagged,legit_passed,n_test
logistic_regression,default,0.5,0.9958873612834152,0.9952356924427822,0.9995985225630319,0.9907680063668921,0.9951636756065391,0.9916159926683289,0.9981347365956982,0.9985108536563454,0.02029700264457279,0.0037374480472956006,0.06113467140089657,0.00877043536726319,0.00029662148132767775,0.00923199363310784,24898,232,10,33703,58843
logistic_regression,tuned,0.5,0.9970599731488877,0.996654142740371,0.9992398479695939,0.9938718662952646,0.9965486284289277,0.9939989506933031,0.9982944199904513,0.9987176672479268,0.014572748843599765,0.0025901184092064766,0.050893205923840924,0.005774507656362601,0.0005635808145225878,0.006128133704735376,24976,154,19,33694,58843
decision_tree,default,0.5,0.997212922522645,0.9968433425102645,0.9991602687140115,0.9943095901313171,0.9967290278830429,0.994310084924726,0.9967269749404659,0.9973238699905539,0.05144287165525579,0.0026908747448153763,0.05187364210092999,0.004174771246220736,0.0006229051107881232,0.005690409868682849,24987,143,21,33692,58843
decision_tree,tuned,0.5,0.997229916897507,0.9968581735843309,0.9992002239372976,0.9943095901313171,0.9967489079921017,0.994344952790956,0.9967906877710235,0.9974239047137958,0.049624246863204,0.0026490430887124348,0.0514688555216884,0.00413832541881629,0.0005932429626553555,0.005690409868682849,24987,143,20,33693,58843
random_forest,default,0.5,0.9972809000220927,0.996917863198338,0.9992003198720512,0.9944289693593314,0.9968089349820503,0.9944488481080903,0.9981120089927416,0.9986001760147784,0.02444826795689779,0.002384200106706073,0.04882827159245014,0.004773852055705583,0.0005932429626553555,0.005571030640668524,24990,140,20,33693,58843
random_forest,tuned,0.5,0.9973148887718165,0.9969424598825348,0.9993201631608414,0.9943891762833267,0.9968485718844742,0.9945188212688435,0.9980481533400622,0.9985598123030754,0.024927895547687796,0.0023753213660147408,0.04873726875825871,0.004543886494570645,0.0005042565182570522,0.005610823716673299,24989,141,17,33696,58843
hist_gradient_boosting,default,0.5,0.9974508437707119,0.997071239402938,0.9995600351971842,0.9944687624353362,0.9970078991462539,0.9947973195133225,0.9984240599846301,0.9987775538802022,0.013775532390913923,0.002377609128421865,0.04876073346886678,0.004901899539319383,0.00032628362946044554,0.0055312375646637485,24991,139,11,33702,58843
hist_gradient_boosting,tuned,0.5,0.9978247200176742,0.9974887013832464,0.9997201790853854,0.9951850378034222,0.997447453435967,0.9955601081608695,0.9978474782257937,0.9984516592057068,0.016924589300497214,0.0020892454527193165,0.04570826459973422,0.0035977651128585716,0.00020763503692937442,0.004814962196577796,25009,121,7,33706,58843
