operating_point,threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,roc_auc,pr_auc,log_loss,brier,probability_rmse,probability_mae,legit_false_alarm_rate,phishing_miss_rate,phishing_caught,phishing_missed,legit_flagged,legit_passed,n_test
default,0.5,0.9978247200176742,0.9974887013832464,0.9997201790853854,0.9951850378034222,0.997447453435967,0.9955601081608695,0.9978474782257937,0.9984516592057068,0.016924589300497214,0.0020892454527193165,0.04570826459973422,0.0035977651128585716,0.00020763503692937442,0.004814962196577796,25009,121,7,33706,58843
f1_optimal,0.500009303824053,0.9978247200176742,0.9974887013832464,0.9997201790853854,0.9951850378034222,0.997447453435967,0.9955601081608695,0.9978474782257937,0.9984516592057068,0.016924589300497214,0.0020892454527193165,0.04570826459973422,0.0035977651128585716,0.00020763503692937442,0.004814962196577796,25009,121,7,33706,58843
fpr_budget,0.23075195005679908,0.9976887650187788,0.9974105765022034,0.9990814696485623,0.9955033824114604,0.9972892166633446,0.9952797563408897,0.9978474782257937,0.9984516592057068,0.016924589300497214,0.0020892454527193165,0.04570826459973422,0.0035977651128585716,0.0006822294070536588,0.004496617588539594,25017,113,23,33690,58843
