TLD,n,n_legit,n_phishing,share_phishing,legit_false_alarm_rate,phishing_miss_rate
lk,13,12,1,0.07692307692307693,,
tz,13,9,4,0.3076923076923077,,
website,13,0,13,1.0,,
news,12,10,2,0.16666666666666666,,
np,12,8,4,0.3333333333333333,,
ug,12,11,1,0.08333333333333333,,
art,12,2,10,0.8333333333333334,,
by,12,8,4,0.3333333333333333,,
94,12,0,12,1.0,,
24,11,0,11,1.0,,
travel,11,9,2,0.18181818181818182,,
bd,11,9,2,0.18181818181818182,,
email,11,2,9,0.8181818181818182,,
ma,11,9,2,0.18181818181818182,,
li,11,1,10,0.9090909090909091,,
bo,10,8,2,0.2,,
name,10,3,7,0.7,,
world,10,2,8,0.8,,
sa,10,5,5,0.5,,
tn,10,1,9,0.9,,
aero,10,10,0,0.0,,
xn--p1ai,10,0,10,1.0,,
gg,10,5,5,0.5,,
host,10,0,10,1.0,,
cy,9,7,2,0.2222222222222222,,
agency,9,3,6,0.6666666666666666,,
coop,9,9,0,0.0,,
lb,9,9,0,0.0,,
cyou,9,0,9,1.0,,
vu,8,1,7,0.875,,
181,8,0,8,1.0,,
67,8,0,8,1.0,,
zw,8,4,4,0.5,,
eg,8,5,3,0.375,,
buzz,8,0,8,1.0,,
al,8,5,3,0.375,,
scot,8,8,0,0.0,,
mom,8,0,8,1.0,,
mn,8,5,3,0.375,,
py,7,4,3,0.42857142857142855,,
86,7,0,7,1.0,,
41,7,0,7,1.0,,
sv,7,7,0,0.0,,
tc,7,1,6,0.8571428571428571,,
ve,7,6,1,0.14285714285714285,,
cr,7,2,5,0.7142857142857143,,
cool,7,2,5,0.7142857142857143,,
chat,7,4,3,0.42857142857142855,,
pm,7,0,7,1.0,,
ps,7,6,1,0.14285714285714285,,
lol,7,0,7,1.0,,
ink,7,1,6,0.8571428571428571,,
gle,7,0,7,1.0,,
78,6,0,6,1.0,,
tl,6,0,6,1.0,,
cam,6,0,6,1.0,,
qa,6,3,3,0.5,,
press,6,3,3,0.5,,
pet,6,1,5,0.8333333333333334,,
cx,6,0,6,1.0,,
bt,6,6,0,0.0,,
na,6,6,0,0.0,,
cash,6,2,4,0.6666666666666666,,
sbs,6,0,6,1.0,,
128,6,0,6,1.0,,
cm,6,1,5,0.8333333333333334,,
bid,6,0,6,1.0,,
goog,6,0,6,1.0,,
fo,6,2,4,0.6666666666666666,,
today,5,0,5,1.0,,
tokyo,5,2,3,0.6,,
media,5,5,0,0.0,,
mu,5,5,0,0.0,,
mk,5,4,1,0.2,,
vg,5,0,5,1.0,,
bw,5,4,1,0.2,,
eus,5,5,0,0.0,,
sn,5,2,3,0.6,,
guru,5,3,2,0.4,,
exchange,5,1,4,0.8,,
kg,5,1,4,0.8,,
bar,5,1,4,0.8,,
12,5,0,5,1.0,,
wales,5,5,0,0.0,,
games,5,3,2,0.4,,
zm,4,2,2,0.5,,
gh,4,4,0,0.0,,
services,4,0,4,1.0,,
ky,4,4,0,0.0,,
gt,4,3,1,0.25,,
academy,4,0,4,1.0,,
date,4,0,4,1.0,,
re,4,0,4,1.0,,
company,4,1,3,0.75,,
pg,4,4,0,0.0,,
nf,4,0,4,1.0,,
center,4,1,3,0.75,,
220,4,0,4,1.0,,
gi,4,4,0,0.0,,
87,4,0,4,1.0,,
systems,4,0,4,1.0,,
st,4,0,4,1.0,,
africa,4,2,2,0.5,,
mg,4,3,1,0.25,,
pics,4,1,3,0.75,,
gs,4,1,3,0.75,,
vc,4,3,1,0.25,,
26,4,0,4,1.0,,
wiki,3,2,1,0.3333333333333333,,
business,3,0,3,1.0,,
ni,3,3,0,0.0,,
182,3,0,3,1.0,,
trade,3,0,3,1.0,,
zone,3,0,3,1.0,,
uz,3,2,1,0.3333333333333333,,
pa,3,3,0,0.0,,
bet,3,1,2,0.6666666666666666,,
paris,3,2,1,0.3333333333333333,,
