model,n_candidates,elapsed_seconds,default_cv_f1_phishing,default_cv_precision_phishing,default_cv_recall_phishing,default_cv_roc_auc,default_cv_pr_auc_phishing,default_cv_f1_phishing_sd,best_cv_f1_phishing,best_cv_precision_phishing,best_cv_recall_phishing,best_cv_roc_auc,best_cv_pr_auc_phishing,best_cv_f1_phishing_sd,best_params,default_params,cv_f1_gain
logistic_regression,12,25.149458699990646,0.9954243498774703,0.9996522551348341,0.9912322589202812,0.998351270528428,0.9986913740150227,0.0002326349141623719,0.9972541967019929,0.9996801314257775,0.9948401644780475,0.9985752739014735,0.9989158600997298,0.0002695228470690415,"{""clf__C"": 1000.0, ""clf__class_weight"": ""balanced""}","{""clf__C"": 1.0, ""clf__class_weight"": null}",0.0018298468245225852
decision_tree,24,23.7191584000102,0.9966701439922119,0.9987879117540512,0.9945616129460142,0.9966019252950631,0.9969719368610731,0.0002705534208018891,0.9966969807030001,0.9987349530840393,0.9946677278153601,0.9966839502713378,0.9969522888329079,0.00028198969812362614,"{""criterion"": ""entropy"", ""max_depth"": 30, ""min_samples_leaf"": 1}","{""criterion"": ""gini"", ""max_depth"": null, ""min_samples_leaf"": 1}",2.6836710788180618e-05
random_forest,16,1221.1276135999942,0.9968364295308684,0.9989211927876129,0.994760578326038,0.9983543577181001,0.9987826444282879,0.00037382257814701377,0.9969357141341089,0.9991473333267479,0.9947340496087014,0.998320659369948,0.9987570120666046,0.0003558166859972555,"{""max_depth"": 30, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""n_estimators"": 300}","{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}",9.928460324049038e-05
hist_gradient_boosting,36,1117.2189205000032,0.9970480144235987,0.999493481514189,0.9946146703806871,0.998717767810185,0.9989782706496296,0.000324776582908771,0.9974743921697057,0.999573744370222,0.995384003183446,0.9978872309932735,0.9985022513838373,0.0003102674932021927,"{""l2_regularization"": 0.0, ""learning_rate"": 0.2, ""max_iter"": 600, ""max_leaf_nodes"": 31}","{""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_iter"": 100, ""max_leaf_nodes"": 31}",0.0004263777461069873
